file	line	before	after
src\app\(app)\approval\page.tsx	6	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\approval\page.tsx	6	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\(app)\approval\page.tsx	25	  AlertCircle,	  AlertCircle as _AlertCircle,
src\app\(app)\approval\page.tsx	28	import { APPROVAL_STATUS_MAP } from '@/lib/constants/bid-ui';	import { APPROVAL_STATUS_MAP as _APPROVAL_STATUS_MAP } from '@/lib/constants/bid-ui';
src\app\(app)\approval\page.tsx	31	  const router = useRouter();	  const _router = useRouter();
src\app\(app)\bid-attendances\page.tsx	7	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid-attendances\page.tsx	51	  Car,	  Car as _Car,
src\app\(app)\bid-attendances\page.tsx	52	  UserCheck,	  UserCheck as _UserCheck,
src\app\(app)\bid-attendances\page.tsx	240	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-attendances\page.tsx	451	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-attendances\page.tsx	474	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-attendances\page.tsx	495	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-attendances\page.tsx	518	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-document-purchases\page.tsx	9	import { Card, CardContent, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid-document-purchases\page.tsx	9	import { Card, CardContent, CardHeader as _CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardHeader as _CardHeader, CardTitle as _CardTitle } from '@/components/ui/card';
src\app\(app)\bid-document-purchases\page.tsx	46	  Phone,	  Phone as _Phone,
src\app\(app)\bid-document-purchases\page.tsx	143	    } catch (error) {	    } catch (_error) {
src\app\(app)\bid-document-purchases\page.tsx	196	    } catch (error) {	    } catch (_error) {
src\app\(app)\bid-document-purchases\page.tsx	217	    } catch (error) {	    } catch (_error) {
src\app\(app)\bid-document-purchases\page.tsx	237	    } catch (error) {	    } catch (_error) {
src\app\(app)\bid-document-purchases\page.tsx	265	    } catch (error) {	    } catch (_error) {
src\app\(app)\bid-notification-collections\page.tsx	7	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid-notification-collections\page.tsx	50	  MapPin,	  MapPin as _MapPin,
src\app\(app)\bid-notification-collections\page.tsx	51	  Phone,	  Phone as _Phone,
src\app\(app)\bid-notification-collections\page.tsx	196	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-notification-collections\page.tsx	358	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-notification-collections\page.tsx	381	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-notification-collections\page.tsx	402	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-notification-collections\page.tsx	425	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-printings\page.tsx	41	  Eye,	  Eye as _Eye,
src\app\(app)\bid-printings\page.tsx	43	  Calendar,	  Calendar as _Calendar,
src\app\(app)\bid-printings\page.tsx	51	  FileText,	  FileText as _FileText,
src\app\(app)\bid-printings\page.tsx	152	  const router = useRouter();	  const _router = useRouter();
src\app\(app)\bid-printings\page.tsx	175	  const [detailDialogOpen, setDetailDialogOpen] = useState(false);	  const [_detailDialogOpen, setDetailDialogOpen] = useState(false);
src\app\(app)\bid-printings\page.tsx	175	  const [_detailDialogOpen, setDetailDialogOpen] = useState(false);	  const [_detailDialogOpen, _setDetailDialogOpen] = useState(false);
src\app\(app)\bid-printings\page.tsx	176	  const [selectedPrinting, setSelectedPrinting] = useState<Printing | null>(null);	  const [_selectedPrinting, setSelectedPrinting] = useState<Printing | null>(null);
src\app\(app)\bid-printings\page.tsx	176	  const [_selectedPrinting, setSelectedPrinting] = useState<Printing | null>(null);	  const [_selectedPrinting, _setSelectedPrinting] = useState<Printing | null>(null);
src\app\(app)\bid-seal-applications\page.tsx	7	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid-seal-applications\page.tsx	23	  DialogTrigger,	  DialogTrigger as _DialogTrigger,
src\app\(app)\bid-seal-applications\page.tsx	44	  Building2,	  Building2 as _Building2,
src\app\(app)\bid-seal-applications\page.tsx	218	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-seal-applications\page.tsx	265	  const loadCompanyAddress = async (companyId: number) => {	  const _loadCompanyAddress = async (companyId: number) => {
src\app\(app)\bid-seal-applications\page.tsx	440	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-seal-applications\page.tsx	463	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-seal-applications\page.tsx	484	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid-seal-applications\page.tsx	507	    } catch (err) {	    } catch (_err) {
src\app\(app)\bid\[id]\approval\page.tsx	8	import { useState, useEffect, useCallback } from 'react';	import { useState, useEffect, useCallback as _useCallback } from 'react';
src\app\(app)\bid\[id]\approval\page.tsx	11	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid\[id]\approval\page.tsx	45	  Calendar,	  Calendar as _Calendar,
src\app\(app)\bid\[id]\approval\page.tsx	46	  FileText,	  FileText as _FileText,
src\app\(app)\bid\[id]\approval\page.tsx	72	  const router = useRouter();	  const _router = useRouter();
src\app\(app)\bid\[id]\edit\page.tsx	27	  const { data: document, isLoading: loadingDoc } = useDocument(documentId);	  const { data: _document, isLoading: loadingDoc } = useDocument(documentId);
src\app\(app)\bid\[id]\interpretations\page.tsx	8	import { useState, useEffect, useCallback } from 'react';	import { useState, useEffect, useCallback as _useCallback } from 'react';
src\app\(app)\bid\[id]\interpretations\page.tsx	13	import { Badge } from '@/components/ui/badge';	import { Badge as _Badge } from '@/components/ui/badge';
src\app\(app)\bid\[id]\interpretations\page.tsx	16	  Select,	  Select as _Select,
src\app\(app)\bid\[id]\interpretations\page.tsx	17	  SelectContent,	  SelectContent as _SelectContent,
src\app\(app)\bid\[id]\interpretations\page.tsx	18	  SelectItem,	  SelectItem as _SelectItem,
src\app\(app)\bid\[id]\interpretations\page.tsx	19	  SelectTrigger,	  SelectTrigger as _SelectTrigger,
src\app\(app)\bid\[id]\interpretations\page.tsx	20	  SelectValue,	  SelectValue as _SelectValue,
src\app\(app)\bid\[id]\interpretations\page.tsx	125	  const handleLinkInterpretation = async (interpretationId: number) => {	  const _handleLinkInterpretation = async (interpretationId: number) => {
src\app\(app)\bid\[id]\seal\page.tsx	8	import { useState, useEffect, useCallback } from 'react';	import { useState, useEffect, useCallback as _useCallback } from 'react';
src\app\(app)\bid\[id]\seal\page.tsx	12	import { Card, CardContent, CardDescription, CardHeader, CardTitle } from '@/components/ui/card';	import { Card, CardContent, CardDescription as _CardDescription, CardHeader, CardTitle } from '@/components/ui/card';
src\app\(app)\bid\[id]\seal\page.tsx	13	import { Badge } from '@/components/ui/badge';	import { Badge as _Badge } from '@/components/ui/badge';
src\app\(app)\bid\[id]\seal\page.tsx	42	  Search,	  Search as _Search,
src\app\(app)\bid\[id]\seal\page.tsx	74	  const router = useRouter();	  const _router = useRouter();
src\app\(app)\bid\[id]\statistics\page.tsx	8	import { useState, useEffect, useCallback } from 'react';	import { useState, useEffect, useCallback as _useCallback } from 'react';
src\app\(app)\bid\[id]\statistics\page.tsx	12	import { Badge } from '@/components/ui/badge';	import { Badge as _Badge } from '@/components/ui/badge';
src\app\(app)\bid\[id]\statistics\page.tsx	22	  BarChart3,	  BarChart3 as _BarChart3,
src\app\(app)\bid\[id]\statistics\page.tsx	23	  PieChart,	  PieChart as _PieChart,
src\app\(app)\bid\[id]\statistics\page.tsx	27	  Clock,	  Clock as _Clock,
src\app\(app)\bid\[id]\statistics\page.tsx	28	  Users,	  Users as _Users,
src\app\(app)\bid\[id]\statistics\page.tsx	29	  Calendar,	  Calendar as _Calendar,
src\app\(app)\bid\[id]\statistics\page.tsx	70	  const router = useRouter();	  const _router = useRouter();
src\app\(app)\bid\[id]\statistics\page.tsx	74	  const [projectStats, setProjectStats] = useState<ProjectDocumentStatistics | null>(null);	  const [_projectStats, setProjectStats] = useState<ProjectDocumentStatistics | null>(null);
src\app\(app)\bid\[id]\statistics\page.tsx	74	  const [_projectStats, setProjectStats] = useState<ProjectDocumentStatistics | null>(null);	  const [_projectStats, _setProjectStats] = useState<ProjectDocumentStatistics | null>(null);
src\app\(app)\bid\[id]\statistics\page.tsx	75	  const [loading, setLoading] = useState(true);	  const [_loading, setLoading] = useState(true);
src\app\(app)\bid\page.tsx	53	  useDeleteChapter 	  useDeleteChapter as _useDeleteChapter 
